Treatment,k_sat,D_sat,C_sat,K_fc,D_fc,C_fc,BD,WAS,MWD,SOC,VWC_10kpa,VWC_sat
0,1.04,0.34,3.11,0.88,0.33,2.65,1.07,91.08,0.86,1.77,0.6,0.54
0,1.08,0.31,3.45,0.88,0.31,2.82,1,98.37,1.33,1.8,0.61,0.47
0,1.02,0.31,3.28,0.89,0.33,2.68,1,97.08,1.96,1.81,0.63,0.6
0,1.12,0.37,3.03,1.01,0.35,2.92,1.09,96.54,2.07,2.07,0.5,0.53
0,1.18,0.35,3.37,1.07,0.31,3.47,1.12,99.62,2.26,2.27,0.59,0.56
0,1.19,0.28,4.23,1.21,0.34,2.52,1.17,95.57,2.59,2.16,0.56,0.47
0,0.94,0.26,3.61,0.91,0.29,3.13,0.94,95.31,1.07,1.87,0.65,0.65
0,0.99,0.31,3.23,0.95,0.25,3.88,0.95,98.39,1.26,1.75,0.65,0.59
0,1.27,0.33,3.83,1.14,0.32,3.54,1.21,96.52,2.35,1.68,0.59,0.57
0,1.15,0.33,3.48,1.08,0.3,3.61,1.04,98.15,1.75,1.68,0.62,0.51
0,1.14,0.32,3.57,1.01,0.36,2.79,1.15,98.85,2.26,1.59,0.6,0.57
0,1.05,0.42,2.52,0.96,0.31,3.14,1.16,97.06,2.21,1.74,0.59,0.46
1,1.38,0.4,3.42,1.1,0.36,3.05,1.23,96.01,1.88,1.38,0.56,0.53
1,1.11,0.41,2.71,1.03,0.32,3.23,1.14,98.49,2.1,1.31,0.56,0.5
1,0.83,0.25,3.27,0.88,0.33,2.71,0.91,98.46,1.71,1.84,0.61,0.54
1,1.09,0.34,3.22,0.95,0.29,3.26,1.09,98.4,1.7,1.81,0.56,0.48
1,1.02,0.31,3.25,0.88,0.31,2.89,1.04,98.92,1.33,1.34,0.59,0.53
1,1.02,0.32,3.19,0.3,0.34,2.77,1.01,97.11,1.25,1.36,0.61,0.5
1,1.12,0.33,3.35,1.07,0.36,3,1.1,94.79,1.91,1.76,0.61,0.6
1,0.88,0.31,2.83,0.74,0.27,2.73,1.09,95.84,2.48,1.74,0.55,0.45
1,1.15,0.34,3.43,1.21,0.41,2.98,1.2,97.09,1.98,1.47,0.57,0.53
1,1.17,0.35,3.36,1.18,0.34,3.51,1.03,97.41,1.81,1.48,0.58,0.49
1,1.27,0.32,3.96,1.15,0.32,3.53,1.19,97.11,1.53,1.7,0.61,0.6
1,1.16,0.4,2.79,0.99,0.4,2.5,1.08,96.1,1.29,1.7,0.61,0.41
2,0.86,0.21,4.01,0.71,0.25,2.89,0.95,99.6,2.43,2.47,0.63,0.6
2,1.12,0.37,3.04,1.05,0.27,3.9,1.11,99.68,2.11,2.36,0.58,0.5
2,1.06,0.35,3.06,0.89,0.32,2.8,1.08,95.43,2.55,2.42,0.57,0.52
2,1.14,0.43,2.62,1.06,0.32,3.37,1.17,95.54,2.6,2.37,0.57,0.49
2,0.92,0.21,4.47,0.85,0.23,3.67,1.08,97.95,2.84,2.73,0.62,0.59
2,0.98,0.29,3.38,0.96,0.26,3.72,1.04,98.39,2.63,2.77,0.74,0.62
2,0.95,0.27,3.57,0.77,0.27,2.88,0.97,98.12,2.44,2,0.59,0.56
2,1.11,0.34,3.23,1.02,0.24,4.19,0.97,97.65,2.28,2.2,0.64,0.61
2,1.18,0.37,3.18,1.21,0.41,2.99,1.27,98.6,2.36,1.82,0.59,0.58
2,1.37,0.38,3.62,1.3,0.27,4.89,1.22,97.87,2.36,2.11,0.56,0.53
2,0.99,0.25,3.92,1.14,0.35,3.3,1.23,99.12,2.25,1.76,0.6,0.58
2,1.31,0.43,3.05,1.24,0.4,3.13,1.2,97.06,1.97,1.78,0.56,0.51
3,0.86,0.26,3.3,0.83,0.26,3.21,1.14,98.07,2.25,2.2,0.56,0.52
3,1.05,0.34,3.12,0.92,0.25,3.62,1.11,99.39,2.52,2.24,0.6,0.52
3,0.97,0.29,3.39,0.96,0.41,2.33,1.11,99.09,2.34,2.23,0.61,0.59
3,1.04,0.3,3.5,1.04,0.28,3.7,1.07,95.82,2.25,2.09,0.62,0.57
3,1.22,0.3,4.02,1.1,0.34,3.22,1.06,98.13,1.58,2.37,0.6,0.56
3,0.96,0.26,3.67,0.84,0.25,3.34,1.13,98.13,1.81,2.36,0.64,0.56
3,1.29,0.41,3.15,1,0.35,2.86,1.15,98.7,2.45,2.07,0.56,0.52
3,1.25,0.36,3.44,0.93,0.31,3.03,1.14,95.98,2.32,1.82,0.56,0.44
3,1.23,0.38,3.28,1.13,0.36,3.16,1.11,98.54,2.26,2.01,0.58,0.55
3,1.19,0.39,3.03,1.19,0.35,3.35,1.2,95.74,2.56,1.95,0.61,0.49
3,1.28,0.42,3.07,1.26,0.41,3.11,1.29,98.34,2.1,1.68,0.55,0.54
3,1.13,0.3,3.75,1.16,0.34,3.38,1.21,96.88,2.21,1.71,0.57,0.49
